,attacking argument,attacked argument,support,attack,neutral
0,1,50,0.4258880913257599,0.17470744252204895,0.3994044363498688
1,1,51,0.9723998904228209,0.00028641484095714986,0.027313662692904472
2,1,52,0.4736483991146088,0.006472915876656771,0.5198786258697511
3,1,53,0.20942305028438568,0.2549198269844055,0.5356571078300476
4,1,54,0.35253357887268066,0.03057268634438515,0.6168937683105469
5,1,55,0.1926022171974182,0.011470013298094273,0.7959277629852295
6,1,56,0.6796364188194275,0.004157853312790394,0.3162056803703308
7,1,57,0.9262306690216064,3.8852162106195465e-05,0.07373052835464478
8,1,58,0.5640125870704651,0.22385677695274356,0.2121306210756302
9,1,59,0.9020116329193116,0.008374994620680809,0.08961335569620132
10,1,60,0.02966359816491604,0.6085339188575745,0.36180245876312256
11,1,61,0.17159755527973175,0.07485678791999817,0.7535457015037537
12,1,62,0.4749585688114166,0.0057498482055962094,0.5192915797233582
13,1,63,0.20940648019313807,0.2549271583557129,0.5356663465499878
14,1,64,0.3525335490703583,0.030572656542062763,0.6168937683105469
15,1,65,0.19260244071483607,0.01146993413567543,0.7959275841712952
16,1,66,0.679636538028717,0.0041578481905162334,0.3162057399749756
17,1,67,0.9262304306030272,3.885218393406831e-05,0.07373066991567613
18,1,68,0.564012885093689,0.223856583237648,0.2121305912733078
19,1,69,0.902011513710022,0.008375020697712898,0.08961345255374907
20,1,70,0.029663657769560814,0.6085338592529297,0.36180242896080017
21,1,71,0.17159758508205414,0.07485675066709517,0.7535457015037537
22,1,72,0.2337987720966339,0.007528024259954691,0.7586731314659119
23,1,73,0.679612934589386,0.004157846327871084,0.3162291944026947
24,1,74,0.9262303709983826,3.885222395183519e-05,0.07373081147670746
25,1,75,0.5640125870704651,0.22385679185390472,0.21213063597679135
26,1,76,0.902011513710022,0.008375020697712898,0.0896134302020073
27,1,77,0.02966360561549664,0.6085339188575745,0.36180245876312256
28,1,78,0.17900443077087402,0.0031760528218001127,0.8178195357322693
29,1,79,0.0005488492897711693,0.012986778281629086,0.9864643812179564
30,1,80,0.07237107306718826,0.02971060574054718,0.8979183435440063
31,1,81,0.3952803015708923,0.21619342267513275,0.3885262608528137
32,1,82,0.8169295191764832,0.033113833516836166,0.14995667338371274
33,1,83,0.016559602692723274,0.15839989483356476,0.8250404596328735
34,1,84,0.4279932081699371,0.18179237842559812,0.39021435379982
35,1,85,0.9724002480506896,0.0002864103007595986,0.0273133534938097
36,1,86,0.07052073627710342,0.11258482933044434,0.8168944120407104
37,1,87,0.4621436595916748,0.006104296073317528,0.5317520499229431
38,1,88,0.20943135023117065,0.2549221813678741,0.5356464982032776
39,1,89,0.35253357887268066,0.03057268634438515,0.6168937683105469
40,1,90,0.19260244071483607,0.011469967663288116,0.7959275841712952
41,1,91,0.679636538028717,0.004157850053161383,0.3162057399749756
42,1,92,0.9262305498123168,3.885215483023785e-05,0.07373061776161194
43,1,93,0.5640127658843994,0.2238563299179077,0.2121308445930481
44,1,94,0.902011513710022,0.008375012315809727,0.0896134078502655
45,1,95,0.029663674533367164,0.6085334420204163,0.3618029057979584
46,1,96,0.2559392750263214,0.11038735508918762,0.633673369884491
47,1,97,0.9753654599189758,1.2668612725974526e-05,0.024621838703751564
48,1,98,0.2544527053833008,0.07389093190431595,0.6716563105583191
49,1,99,0.9511720538139344,0.010483157820999622,0.03834480419754982
50,2,50,0.05715139955282211,0.9229443669319152,0.01990427635610104
51,2,51,0.9389851689338684,7.10783297108719e-07,0.06101417914032936
52,2,52,0.4863370656967163,0.003244244959205389,0.5104186534881592
53,2,53,0.2718454897403717,0.024993868544697758,0.7031606435775757
54,2,54,0.8975925445556641,0.0034331257920712233,0.0989743545651436
55,2,55,4.8504302867513616e-06,4.792908612216706e-07,0.9999946355819702
56,2,56,0.4993242919445038,5.269931716611609e-05,0.5006229877471924
57,2,57,0.9380493760108948,1.5465368051081892e-05,0.06193511933088304
58,2,58,0.7665103077888489,0.22433410584926605,0.009155572392046452
59,2,59,0.9442569613456726,0.0026859308127313852,0.05305713415145874
60,2,60,0.002006668364629149,0.9979768395423888,1.6586944184382446e-05
61,2,61,0.8801916837692261,0.1039869263768196,0.015821382403373718
62,2,62,0.4848244190216065,0.0032501621171832085,0.5119253993034363
63,2,63,0.2718454301357269,0.024993902072310448,0.7031607031822205
64,2,64,0.8975925445556641,0.0034331192728132014,0.0989743545651436
65,2,65,4.8504348342248704e-06,4.7928989488355e-07,0.9999946355819702
66,2,66,0.4993244111537933,5.269940083962865e-05,0.5006228685379028
67,2,67,0.9380494952201844,1.546532439533621e-05,0.06193506345152855
68,2,68,0.7665103673934937,0.22433416545391086,0.009155555628240108
69,2,69,0.9442570805549622,0.0026859259232878685,0.05305697396397591
70,2,70,0.002006672089919448,0.9979768395423888,1.6586975107202303e-05
71,2,71,0.8801916837692261,0.10398700088262558,0.015821367502212524
72,2,72,4.740181339002446e-06,4.843817578148446e-07,0.9999947547912598
73,2,73,0.4993242919445038,5.269931716611609e-05,0.5006229877471924
74,2,74,0.9380494952201844,1.5465280739590526e-05,0.06193504855036736
75,2,75,0.7665103077888489,0.22433412075042725,0.009155572392046452
76,2,76,0.9442570805549622,0.0026859273202717304,0.053057052195072174
77,2,77,0.0020066665019839998,0.9979768395423888,1.6586944184382446e-05
78,2,78,0.9192484021186828,0.0696965828537941,0.011054986156523228
79,2,79,0.9965081810951232,0.002288126852363348,0.0012037131236866114
80,2,80,0.8704492449760437,0.07934840023517609,0.05020233243703842
81,2,81,0.14421315491199493,0.005551455542445183,0.8502354025840759
82,2,82,0.6282642483711243,0.15613992512226105,0.21559587121009827
83,2,83,0.02098884806036949,0.04605589434504509,0.9329553246498108
84,2,84,0.057632911950349815,0.9225435256958008,0.01982354372739792
85,2,85,0.9389851689338684,7.107819328666666e-07,0.06101421266794205
86,2,86,0.8508905172348022,0.13502821326255798,0.014081308618187903
87,2,87,0.48283028602600103,0.003303357632830739,0.5138663649559021
88,2,88,0.2718454301357269,0.02499387040734291,0.7031607031822205
89,2,89,0.8975925445556641,0.003433120669797063,0.0989743545651436
90,2,90,4.8504257392778535e-06,4.792880758941465e-07,0.9999946355819702
91,2,91,0.4993243515491486,5.2699157095048577e-05,0.5006229281425476
92,2,92,0.9380493760108948,1.546530802443158e-05,0.0619351752102375
93,2,93,0.7665103077888489,0.22433412075042725,0.009155567735433578
94,2,94,0.9442570805549622,0.0026859273202717304,0.053057011216878884
95,2,95,0.0020066692959517236,0.9979768395423888,1.6586944184382446e-05
96,2,96,0.5041630268096924,0.44752463698387146,0.04831230640411377
97,2,97,0.9889687299728394,6.775071597076021e-07,0.011030586436390877
98,2,98,0.7335854172706604,0.0279203150421381,0.23849430680274966
99,2,99,0.4765267372131348,0.0008663482731208205,0.5226069688796997
100,3,50,0.019276764243841168,0.771548867225647,0.20917442440986636
101,3,51,0.7901361584663391,0.00010510264837648721,0.2097586989402771
102,3,52,0.11424218118190765,0.02257537841796875,0.8631824254989624
103,3,53,0.458274632692337,0.0037736275698989634,0.5379517078399658
104,3,54,0.9814624786376952,0.0011543418513610961,0.017383147031068802
105,3,55,7.289355608008917e-08,4.3046819087066973e-07,0.9999995231628418
106,3,56,0.4788990914821625,1.0830323844857048e-05,0.5210900902748108
107,3,57,0.15812838077545166,0.00033122044987976546,0.8415404558181763
108,3,58,0.718278169631958,0.2056717276573181,0.07604999095201492
109,3,59,0.786387026309967,0.15733543038368225,0.0562775619328022
110,3,60,0.0005199885927140713,0.9984706044197084,0.0010093026794493196
111,3,61,0.8398285508155823,0.13137541711330414,0.02879611030220985
112,3,62,0.10876724123954773,0.022345785051584244,0.8688870072364807
113,3,63,0.4582658410072327,0.0037736857775598773,0.5379605293273926
114,3,64,0.9814624786376952,0.0011543412692844868,0.017383147031068802
115,3,65,7.289396819487594e-08,4.304706351376808e-07,0.9999995231628418
116,3,66,0.4788992404937744,1.0830341125256382e-05,0.5210899114608765
117,3,67,0.15812845528125766,0.0003312207118142397,0.8415403366088867
118,3,68,0.7182786464691162,0.20567147433757785,0.07604993879795073
119,3,69,0.7863872051239014,0.15733517706394196,0.056277550756931305
120,3,70,0.0005199862061999738,0.9984706044197084,0.0010092997690662742
121,3,71,0.8398285508155823,0.13137534260749814,0.028796104714274406
122,3,72,7.35207734692267e-08,4.2199363292638736e-07,0.9999995231628418
123,3,73,0.47888529300689703,1.0830446626641788e-05,0.5211039185523987
124,3,74,0.15812842547893524,0.00033122135209850967,0.8415403366088867
125,3,75,0.7182786464691162,0.20567160844802854,0.07604984194040297
126,3,76,0.7863873243331909,0.15733520686626434,0.05627744644880295
127,3,77,0.0005199876031838356,0.9984706044197084,0.0010093026794493196
128,3,78,0.8100079298019409,0.16423465311527252,0.025757363066077232
129,3,79,0.007176901213824748,0.005051830317825079,0.9877712726593018
130,3,80,0.9995543360710144,0.00032478469074703753,0.0001208349276566878
131,3,81,0.08574311435222626,0.0025284294970333576,0.9117285013198853
